World Port Index Number,Region Name,Main Port Name,Alternate Port Name,UN/LOCODE,Country Code,World Water Body,IHO S-130 Sea Area,Latitude,Longitude,Tidal Range (m),Entrance Width (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Maximum Vessel Length (m),Maximum Vessel Beam (m),Maximum Vessel Draft (m),Harbor Size,Harbor Type,Harbor Use,Shelter Afforded,Entrance Restriction - Tide,Entrance Restriction - Heavy Swell,Entrance Restriction - Ice,Entrance Restriction - Other,Overhead Limits,Underkeel Clearance Management System,Good Holding Ground,Turning Area,Port Security,Traffic Separation Scheme,Vessel Traffic Service,Pilotage - Compulsory,Pilotage - Available
7770.0,United States E Coast -- 6585,Hoboken, ,US HBK,United States,North Atlantic Ocean, ,40.75,-74.016667,1.2,0.0,12.5,12.5,9.4,0.0,0.0,0.0,Medium,River (Natural),Unknown,Good,No,No,No,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Yes,Unknown
7610.0,United States E Coast -- 6585,Greenwich, ,US GRH,United States,North Atlantic Ocean, ,41.016667,-73.616667,2.1,0.0,1.8,1.8,3.4,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Excellent,No,No,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown
7570.0,United States E Coast -- 6585,Bridgeport, ,US BDR,United States,North Atlantic Ocean, ,41.166667,-73.183333,2.1,0.0,7.9,14.0,9.4,0.0,0.0,0.0,Medium,Coastal (Breakwater),Unknown,Excellent,Yes,No,No,Yes,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown
7400.0,United States E Coast -- 6585,Fall River, ,US FAV,United States,North Atlantic Ocean, ,41.7,-71.166667,1.2,0.0,9.4,6.4,9.4,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Excellent,No,No,Yes,Yes,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Yes,Unknown
7720.0,United States E Coast -- 6585,Albany, ,US ALB,United States,North Atlantic Ocean, ,42.65,-73.75,1.5,0.0,9.4,11.0,7.9,0.0,0.0,0.0,Medium,River (Natural),Unknown,Good,Yes,No,No,Yes,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Yes,Unknown
45400.0,Tunisia -- 45360,Mahdia, ,TN MAD,Tunisia,Mediterranean Sea; North Atlantic Ocean, ,35.5,11.066667,0.0,0.0,4.9,4.9,3.4,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Poor,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
44870.0,Turkey Asia -- 44360,Botas, ,TR BOT,Turkey,Mediterranean Sea; North Atlantic Ocean, ,36.883333,35.933333,0.0,0.0,0.0,0.0,23.2,0.0,0.0,0.0,Very Small,Open Roadstead,Unknown,Poor,No,No,No,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes
45867.0,Sierra Leone -- 45860,Bonthe, ,SL BTE,Sierra Leone,North Atlantic Ocean, ,7.533333,-12.5,3.0,0.0,3.4,6.4,6.4,0.0,0.0,0.0,Very Small,River (Natural),Unknown,Good,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown
6940.0,United States E Coast -- 6585,Camden, ,US AQQ,United States,North Atlantic Ocean, ,44.216667,-69.066667,3.0,0.0,4.9,9.4,3.4,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Fair,Yes,No,Yes,Yes,No,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes
16050.0,United States W Coast -- 16000,Avalon, ,US AOU,United States,North Pacific Ocean, ,33.35,-118.316667,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Fair,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
9340.0,US Gulf Coast -- 8650,Brownsville, ,US BRO,United States,Gulf of Mexico; North Atlantic Ocean, ,25.95,-97.4,0.3,0.0,12.5,9.4,9.4,0.0,0.0,0.0,Small,Canal or Lake,Unknown,Good,Yes,No,No,No,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes
9150.0,US Gulf Coast -- 8650,Galveston, ,US GLS,United States,Gulf of Mexico; North Atlantic Ocean, ,29.316667,-94.78333300000001,0.0,0.0,11.0,7.9,7.9,0.0,0.0,0.0,Large,Coastal (Natural),Unknown,Good,No,No,No,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes
9140.0,US Gulf Coast -- 8650,Beaumont, ,US BPT,United States,Gulf of Mexico; North Atlantic Ocean, ,30.083333,-94.083333,0.0,0.0,11.0,7.9,7.9,0.0,0.0,0.0,Medium,River (Natural),Unknown,Good,Yes,No,Yes,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes
8970.0,US Gulf Coast -- 8650,Baton Rouge, ,US BTR,United States,Gulf of Mexico; North Atlantic Ocean, ,30.45,-91.183333,0.9,0.0,12.5,12.5,9.4,0.0,0.0,0.0,Small,River (Natural),Unknown,Good,No,No,No,No,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Yes,Unknown
8720.0,US Gulf Coast -- 8650,Carrabelle, ,US CRB,United States,Gulf of Mexico; North Atlantic Ocean, ,29.85,-84.666667,0.6,0.0,4.9,4.9,1.8,0.0,0.0,0.0,Very Small,River (Natural),Unknown,Unknown,No,No,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes
8660.0,US Gulf Coast -- 8650,Key West, ,US EYW,United States,Gulf of Mexico; North Atlantic Ocean, ,24.55,-81.81666699999998,0.3,0.0,9.4,4.9,9.4,0.0,0.0,0.0,Small,Coastal (Natural),Unknown,Good,No,No,No,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown
8600.0,United States E Coast -- 6585,Fort Pierce, ,US FPR,United States,North Atlantic Ocean, ,27.466667,-80.31666699999998,0.3,0.0,7.9,6.4,6.4,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Excellent,No,No,No,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown
8570.0,United States E Coast -- 6585,Mayport, ,US NRB,United States,North Atlantic Ocean, ,30.4,-81.433333,1.5,0.0,12.5,12.5,12.5,0.0,0.0,0.0,Very Small,River (Natural),Unknown,Excellent,No,No,No,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown
8325.0,United States E Coast -- 6585,Elizabeth City, ,US ECG,United States,North Atlantic Ocean, ,36.3,-76.216667,0.0,0.0,1.8,3.4,3.4,0.0,0.0,0.0,Very Small,River (Natural),Unknown,Excellent,No,No,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown
44790.0,Turkey Asia -- 44360,Bodrum, ,TR BXN,Turkey,Aegean Sea; Mediterranean Sea; North Atlantic Ocean, ,37.033333,27.433333,1.0,0.0,0.0,17.1,21.6,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Fair,No,No,No,No,No,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes
47000.0,Tanzania -- 46965,Kilwa Kivinje, ,TZ KIK,Tanzania,Indian Ocean, ,-8.733333,39.416667,1.0,0.0,9.4,7.9,7.9,0.0,0.0,0.0,Very Small,Open Roadstead,Unknown,Fair,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
16280.0,United States W Coast -- 16000,Davenport, ,US DAV,United States,North Pacific Ocean, ,37.016667,-122.2,1.2,0.0,0.0,11.0,14.0,0.0,0.0,0.0,Very Small,Open Roadstead,Unknown,Poor,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown
16145.0,United States W Coast -- 16000,Carpinteria, ,US CPT,United States,North Pacific Ocean, ,34.383333,-119.516667,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Poor,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
16440.0,United States W Coast -- 16000,Crockett, ,US CRM,United States,North Pacific Ocean, ,38.05,-122.216667,1.2,0.0,9.4,6.4,0.0,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Excellent,No,No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes
